title,hotels_result,hotels_price_restlt
北部湾广场周边酒店,"['北海海怡酒店', '北海海景7号度假公寓', '北海胜境度假宾馆', '北海豪泰酒店', '北海品尚主题商务酒店', '北海名珠宫酒店', '凯昇快捷酒店(北海银滩万达店)', '北海假日自助新干线旅馆侨港店']","['75', '78', '67', '68', '70', '138', '128', '138']"
NA,[],[]
广西海上豪华型观光游艇周边酒店,"['北海鑫雅宾馆', '北海天赐宾馆', '北海精灵墅客栈', '北海棕榈泉度假酒店', '北海欢乐e家人公寓酒店', '北海咱家宾馆', '北海彼岸之海假日别墅酒店', '北海居之家别墅宾馆']","['58', '64', '158', '159', '988', '120', '99', '56']"
外沙岛周边酒店,"['北海鑫雅宾馆', '北海天赐宾馆', '北海精灵墅客栈', '北海棕榈泉度假酒店', '北海美玲温馨度假家庭公寓', '北海欢乐e家人公寓酒店', '北海咱家宾馆', '北海Sunshine·海青年旅舍']","['58', '64', '158', '159', '94', '988', '120', '22']"
北海金海湾红树林周边酒店,"['北京攀西宾馆', '北京红居宾馆', '欣燕都连锁酒店(北京天坛东门店)', '北京顺安康宾馆', '汉庭酒店(北京前门大街店)', '北京云天酒店', '泉谷酒店(北京天坛店)', '99优选酒店(北京天桥永安路店)']","['368', '118', '178', '120', '195', '448', '292', '139']"
NA,"['广西壮族自治区北海，位于广西最南端，北部湾东北岸，北海是一个浪漫的城市，风光旖旎，气候宜人，让人流连忘返。它还是一座具有亚热带滨海风光的美丽城市，拥有中国优秀旅游城市的称号。 \t 北海是中国南部海滨的一座美丽的花园城市，道路宽阔笔直，绿树成荫，碧蓝的大海，明媚的...', '鳄鱼山景区又叫鳄鱼山公园，位于涠洲岛南湾西侧的鳄鱼岭，是整个涠洲岛火山地质景观的...', '北海银滩被列为国家级旅游度假区，为中国的35个“王牌景点”之一，享有“天下第一滩”...', '北海市拥有广西最大的海岛涠洲岛。涠洲岛位于北海半岛东南面24海里处，由南至北长6.5....', '北海老街一般指中山路和珠海路，老街形成于1927年前后，但它的起源却要追溯到19世纪中...', '五彩滩位于涠洲岛东海岸，这里没有白净的沙滩，有的是贝壳和火山石磨细成的黑沙石，因...', '滴水丹屏是位于涠洲岛西南部的一段海边石崖，崖壁上的石缝间常有水点点滴落，犹如珠帘...', '冠头岭国家森林公园在北海市区西南，距市区8公里，犹如一青龙横卧海面。因坡岭宛延起....', '金海湾红树林生态休闲度假旅游区是我国极富滨海湿地风情和渔家文化内涵的黄金景点，整...', '位于广西北海市区北面。走桂海高速公路至市区四川北路可达。是集观光、购物、休闲为一...', '北海海底世界座落在北海海滨公园内，是我国西南地区最大的海底世界观光旅游项目，其总...', '1. 国家AAAA级旅游景区北海海洋之窗是国家AAAA级旅游景区、全国科普教育基地，座落于....', '星岛湖旅游区是利用洪潮江水库发展建成的一个内陆湖旅游度假区，整个水库水面面积6660...', '外沙岛位于广西北海市北岸，距市中心1.5千米。属集海鲜饮食、旅游度假、购物观光、休....', '海滩公园位于北海银滩中部。公园由三部份组成，东区设有琴、棋、书、画院；中间是海滩...', '星岛湖旅游区位于北海合浦县西北部24公里处的洪潮江水库，距离北海市区50公里，约1小....', '海底彩带是指岛的东、北、西南面由带状的珊瑚岸礁形成的水下奇观。透过清澈的海水可以...', '白龙珍珠城位于距北海市东南36公里的营盘镇白龙村。 传说古时曾有白龙盘旋于此，得名....', '北海忘忧岛(又名五姑娘岛)，离北海市区约3海里，夜晚可以遥看北海北岸的夜景。忘忧岛....']","['2', '98', '2', '75', '10', '98', '5', '25', '98', '80', '110', '2', '100']"
NA,[],[]
星岛湖旅游区周边酒店,"['北海鑫雅宾馆', '北海天赐宾馆', '北海精灵墅客栈', '北海棕榈泉度假酒店', '北海美玲温馨度假家庭公寓', '北海欢乐e家人公寓酒店', '北海咱家宾馆', '北海Sunshine·海青年旅舍']","['58', '64', '158', '159', '94', '988', '120', '22']"
NA,[],[]
NA,[],[]
涠洲岛潜水周边酒店,"['涠洲岛看风景海边客栈', '北海涠洲岛半山伴海', '涠洲岛蕉叶壹居OneHomeHotel', '涠洲岛栖墅民宿', '涠洲岛友一家客栈', '北海涠洲岛安格瑞拉花园客栈', '涠洲岛四叶草海景客栈', '北海涠洲岛金屏海景客栈']","['59', '180', '188', '117', '158', '228', '260', '211']"
大江埠越南边关风情村周边酒店,"['北海鑫雅宾馆', '北海天赐宾馆', '北海精灵墅客栈', '北海棕榈泉度假酒店', '北海美玲温馨度假家庭公寓', '北海欢乐e家人公寓酒店', '北海咱家宾馆', '北海Sunshine·海青年旅舍']","['58', '64', '158', '159', '94', '988', '120', '22']"
NA,[],[]
NA,[],[]
防城港火山岛周边酒店,"['钦州正元大酒店', '钦州颐豪大酒店', '钦州阳光海岸商务酒店', '钦州金苑商务酒店', '钦州悦海旅馆', '钦州怡家优品酒店', '钦州金海岸商务宾馆', '钦州欧雅宾馆']","['65', '58', '138', '70', '58', '60', '59', '58']"
屏峰雨林公园周边酒店,"['防城港蓝白拖美宿', '防城港海逸居民宿', '防城港江山半岛酒店', '防城港七月上民宿', '防城港蓝海湾客栈', '防城港老李四客栈', '防城港海天一舍客栈', '防城港海客时光民宿']","['318', '275', '240', '131', '98', '118', '398', '291']"
野人谷漂流周边酒店,"['防城港蓝白拖美宿', '防城港海逸居民宿', '防城港江山半岛酒店', '防城港七月上民宿', '防城港蓝海湾客栈', '防城港老李四客栈', '防城港海天一舍客栈', '防城港海客时光民宿']","['318', '275', '240', '131', '98', '118', '398', '291']"
NA,[],[]
NA,[],[]
百鸟乐园周边酒店,['上思乐然居酒店'],['180']
金滩周边酒店,"['防城港蓝白拖美宿', '防城港海逸居民宿', '防城港江山半岛酒店', '防城港七月上民宿', '防城港蓝海湾客栈', '防城港老李四客栈', '防城港海天一舍客栈', '防城港海客时光民宿']","['318', '275', '240', '131', '98', '118', '398', '291']"
蝴蝶岛周边酒店,"['防城港蓝白拖美宿', '防城港海逸居民宿', '防城港江山半岛酒店', '防城港七月上民宿', '防城港蓝海湾客栈', '防城港老李四客栈', '防城港海天一舍客栈', '防城港海客时光民宿']","['318', '275', '240', '131', '98', '118', '398', '291']"
十万大山周边酒店,"['防城港蓝白拖美宿', '防城港海逸居民宿', '防城港江山半岛酒店', '防城港七月上民宿', '防城港蓝海湾客栈', '防城港老李四客栈', '防城港海天一舍客栈', '防城港海客时光民宿']","['318', '275', '240', '131', '98', '118', '398', '291']"
大平坡周边酒店,"['防城港蓝白拖美宿', '防城港海逸居民宿', '防城港江山半岛酒店', '防城港七月上民宿', '防城港蓝海湾客栈', '防城港老李四客栈', '防城港海天一舍客栈', '防城港海客时光民宿']","['318', '275', '240', '131', '98', '118', '398', '291']"
万尾金滩周边酒店,"['东兴海景楼度假村', '东兴金湾酒店', '防城港海蓝蓝海景房渔家乐(分店)', '东兴万尾农家旅馆', '东兴乡海农家乐', '东兴骐安居别院', '防城港陈梅花特色民宿(2号店)', '东兴五叔农家乐']","['128', '90', '166', '69', '74', '168', '128', '62']"
怪石滩周边酒店,"['防城港怪石滩山海渔家乐', '防城港温馨港湾民宿', '防城港江山半岛白沙湾巧巧农家乐', '防城港白沙湾旅社', '防城港珍珠湾明爵海景二号渔家乐', '防城港白沙湾明洋kz特色民宿', '防城港珍珠湾明爵海景一号渔家乐', '防城港白龙海海景酒店']","['138', '138', '168', '203', '258', '188', '158', '88']"
江山半岛周边酒店,"['防城港温馨港湾民宿', '防城港江山半岛白沙湾巧巧农家乐', '防城港白沙湾旅社', '防城港珍珠湾明爵海景二号渔家乐', '防城港白沙湾明洋kz特色民宿', '防城港珍珠湾明爵海景一号渔家乐', '防城港白龙海海景酒店', '防城港万鸥海岸海景民宿']","['138', '168', '203', '258', '188', '158', '88', '258']"
月亮湾周边酒店,"['防城港玲莉度假酒店', '防城港常丰农家乐', '防城港防城港三块石朴宿客栈', '防城港萨维尔度假酒店', '防城港家多福海景客栈', '防城港三块石玖号海景民宿', '防城港蓝白拖美宿', '防城港海逸居民宿']","['118', '138', '158', '865', '183', '268', '318', '275']"
NA,[],[]
胡志明小道周边酒店,"['防城港蓝白拖美宿', '防城港海逸居民宿', '防城港江山半岛酒店', '防城港七月上民宿', '防城港蓝海湾客栈', '防城港老李四客栈', '防城港海天一舍客栈', '防城港海客时光民宿']","['318', '275', '240', '131', '98', '118', '398', '291']"
峒中温泉周边酒店,"['防城港蓝白拖美宿', '防城港海逸居民宿', '防城港江山半岛酒店', '防城港七月上民宿', '防城港蓝海湾客栈', '防城港老李四客栈', '防城港海天一舍客栈', '防城港海客时光民宿']","['318', '275', '240', '131', '98', '118', '398', '291']"
聪皇沟周边酒店,['防城港城之星快捷酒店'],['78']
七彩贝丘湾周边酒店,"['东兴七彩贝丘湾酒店', '东兴戚姐庄园']","['60', '48']"
黄姚古镇周边酒店,"['昭平宝峰宾馆', '昭平黄姚金隆大酒店', '黄姚古镇金梦园酒店', '黄姚云山悦景酒店', '昭平黄姚隆泉商务酒店', '昭平县乡约黄姚酒店', '贺州翠屏别院酒店', '昭平黄姚便捷客栈']","['108', '55', '89', '115', '65', '138', '105', '56']"
浮山风景名胜区周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
客家围屋周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
贺州温泉周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
NA,[],[]
姑婆山周边酒店,['姑婆山小英姐家庭民宿'],['588']
江氏客家围屋周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
路花温泉周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
秀水状元村周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
贺州小凉河周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
紫云周边酒店,"['贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州陶然居酒店', '贺州平果商务酒店']","['53', '83', '80', '468', '68', '90', '118', '62']"
贺州灵峰山周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
贺州十八水周边酒店,"['姑婆山碧水湾美宿', '贺州姑婆山家庭旅馆', '姑婆山林韵山居公寓', '姑婆山小蜜蜂之家民宿', '姑婆山小英姐家庭民宿']","['142', '699', '178', '64', '588']"
双龙漂流周边酒店,['姑婆山小英姐家庭民宿'],['588']
NA,[],[]
浮山周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
NA,[],[]
贺州南乡温泉群周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
现代农业科技示范园周边酒店,"['贺州龙记宾馆', '贺州宏运雅居', '贺州庆丰源民宿', '贺州鲜美廉客栈', '贺州永丰宾馆', '贺州便捷宾馆', '贺州好运来酒店', '贺州温馨居公寓']","['88', '53', '83', '80', '468', '68', '90', '453']"
NA,[],[]
勾漏洞周边酒店,"['北流豪荣酒店', '新西里酒店(北流南站店)', '北流富丽华大酒店', '北流嘉华时尚酒店', '大成酒店（北流南园店）', '千景连锁酒店(北流永丰店)', '顺6吉邦便捷酒店(北流南园店)', '北流云联酒店']","['90', '68', '60', '78', '118', '77', '60', '118']"
大容山周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
NA,[],[]
云天文化城周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
都峤山周边酒店,"['容县途乐商务酒店', '玉林容县龙晶国际大酒店', '容县金瑞宾馆', '容县和鑫商务宾馆', '容县兴得利宾馆', '容县容州国际大酒店', '容县巴里岛假日酒店', '容县宜居宾馆']","['79', '118', '58', '58', '88', '231', '74', '95']"
龙珠湖周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
陆川温泉周边酒店,['陆川八方商务酒店'],['118']
NA,[],[]
大容山漂流周边酒店,['桫椤谷度假酒店(北流大容山国家森林公园店)'],['362']
佛子山周边酒店,"['玉林成功商务酒店', '玉林冠华酒店', '维也纳国际酒店(玉林中鼎公园假日店)', '城市便捷酒店(玉林宏进中鼎公园假日店)', 'TOWO上品酒店(玉林宏进批发城店)']","['69', '48', '138', '160', '68']"
真武阁周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
NA,[],[]
龙泉岩周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
玉林容县黎村温泉周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
天堂湖温泉周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
庆寿岩周边酒店,"['容县养心学院酒店', '容县途乐商务酒店', '容县金瑞宾馆', '容县和鑫商务宾馆', '容县兴得利宾馆', '容县容州国际大酒店', '容县巴里岛假日酒店', '容县宜居宾馆']","['239', '79', '58', '58', '88', '231', '74', '95']"
杨贵妃故里周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
玉林龟山森林公园周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
玉林博白温罗温泉周边酒店,"['玉林宾馆第一分部', '玉林大众商务宾馆', '玉林国豪宾馆', '玉林香都大酒店', '名人酒店(玉林城站店)', '玉林圣上大酒店', '精通酒店(玉林火车站玉柴店)', '玉林钱江源大酒店']","['138', '29', '40', '50', '68', '49', '68', '57']"
NA,[],[]
桂平西山周边酒店,"['贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)', '雅斯特酒店(贵港中央广场高铁站店)']","['50', '88', '78', '54', '209', '58', '87', '83']"
龙潭森林公园周边酒店,"['贵港有家宾馆', '贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)']","['49', '50', '88', '78', '54', '209', '58', '87']"
大藤峡周边酒店,"['尚客优精选酒店(桂平客运中心店)', '桂平艾尚酒店', '桂平天成商务酒店', '贵港贵港雅源宾馆()', '桂平金燕子主题酒店', '桂平雅图便捷酒店', '桂平恒通旅馆', '桂平朝洋酒店']","['149', '127', '80', '78', '89', '98', '88', '60']"
贵港南山寺周边酒店,"['贵港有家宾馆', '贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)']","['49', '50', '88', '78', '54', '209', '58', '87']"
龙潭国家森林公园周边酒店,"['贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)', '雅斯特酒店(贵港中央广场高铁站店)']","['50', '88', '78', '54', '209', '58', '87', '83']"
桂平金田起义旧址周边酒店,"['贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)', '雅斯特酒店(贵港中央广场高铁站店)']","['50', '88', '78', '54', '209', '58', '87', '83']"
NA,[],[]
北回归线标志公园周边酒店,"['贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)', '雅斯特酒店(贵港中央广场高铁站店)']","['50', '88', '78', '54', '209', '58', '87', '83']"
NA,[],[]
九凌湖周边酒店,"['贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)', '雅斯特酒店(贵港中央广场高铁站店)']","['50', '88', '78', '54', '209', '58', '87', '83']"
贵港新世纪广场周边酒店,"['贵港有家宾馆', '贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)']","['49', '50', '88', '78', '54', '209', '58', '87']"
金田周边酒店,['桂平金田宾馆'],['63']
NA,[],[]
贵港九凌湖周边酒店,"['贵港有家宾馆', '贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)']","['49', '50', '88', '78', '54', '209', '58', '87']"
NA,[],[]
NA,[],[]
贵港东湖公园周边酒店,"['贵港有家宾馆', '贵港格莱美旅馆', '贵港金湖精品商务宾馆', '贵港阁柠商务酒店', '贵港金灿旅馆', '贵港明悦大酒店', '贵港南部都市商务酒店', '城市便捷酒店(贵港唐人街店)']","['49', '50', '88', '78', '54', '209', '58', '87']"
NA,[],[]
大成国王府遗址周边酒店,"['尚客优精选酒店(桂平客运中心店)', '桂平艾尚酒店', '桂平天成商务酒店', '贵港贵港雅源宾馆()', '桂平金燕子主题酒店', '桂平雅图便捷酒店', '桂平恒通旅馆', '桂平朝洋酒店']","['149', '127', '80', '78', '89', '98', '88', '60']"
东塔周边酒店,"['尚客优精选酒店(桂平客运中心店)', '桂平艾尚酒店', '桂平天成商务酒店', '贵港贵港雅源宾馆()', '桂平金燕子主题酒店', '桂平雅图便捷酒店', '桂平恒通旅馆', '桂平朝洋酒店']","['149', '127', '80', '78', '89', '98', '88', '60']"
三娘湾周边酒店,"['钦州乌雷福有渔庄', '钦州火车驿站', '钦州三娘湾海边客栈', '钦州金海滩酒店', '钦州海豚之乡宾馆', '钦州渔枫旅馆', '钦州三娘湾海岸线客房', '钦州麦记渔家小院饭店']","['178', '178', '158', '88', '168', '59', '118', '88']"
NA,[],[]
六峰山周边酒店,"['灵山江南商务酒店', '灵山喜橙凯旋酒店', '灵山星照宾馆', '灵山环宇酒店', '灵山正久大酒店', '灵山银城商务酒店', '灵山葡京酒店', '灵山大家旺酒店']","['68', '121', '65', '78', '68', '154', '72', '80']"
NA,[],[]
麻蓝岛周边酒店,"['钦州正元大酒店', '钦州颐豪大酒店', '钦州阳光海岸商务酒店', '钦州金苑商务酒店', '钦州悦海旅馆', '钦州怡家优品酒店', '钦州金海岸商务宾馆', '钦州欧雅宾馆']","['65', '58', '138', '70', '58', '60', '59', '58']"
NA,[],[]
刘永福故居周边酒店,"['城市便捷酒店(钦州汽车南站店)', '城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店']","['79', '154', '178', '118', '108', '108', '45', '60']"
三宣堂周边酒店,"['钦州悦莱宾馆茶山江店', '城市便捷酒店(钦州汽车南站店)', '城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆']","['50', '79', '154', '178', '118', '108', '108', '45']"
灵东水库周边酒店,"['城市便捷酒店(钦州汽车南站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店', '钦州安悦宾馆']","['79', '178', '118', '108', '108', '45', '60', '70']"
椎林叠翠周边酒店,"['城市便捷酒店(钦州汽车南站店)', '城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店']","['79', '154', '178', '118', '108', '108', '45', '60']"
冯子材故居周边酒店,"['城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店', '钦州安悦宾馆']","['154', '178', '118', '108', '108', '45', '60', '70']"
NA,[],[]
钦州龙门群岛周边酒店,"['城市便捷酒店(钦州汽车南站店)', '城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店']","['79', '154', '178', '118', '108', '108', '45', '60']"
王岗山周边酒店,"['城市便捷酒店(钦州汽车南站店)', '城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店']","['79', '154', '178', '118', '108', '108', '45', '60']"
七十二泾周边酒店,"['钦州正元大酒店', '钦州颐豪大酒店', '钦州阳光海岸商务酒店', '钦州金苑商务酒店', '钦州悦海旅馆', '钦州怡家优品酒店', '钦州金海岸商务宾馆', '钦州欧雅宾馆']","['65', '58', '138', '70', '58', '60', '59', '58']"
钦州龟王城周边酒店,"['城市便捷酒店(钦州汽车南站店)', '城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店']","['79', '154', '178', '118', '108', '108', '45', '60']"
钦州仙岛公园周边酒店,"['钦州正元大酒店', '钦州颐豪大酒店', '钦州阳光海岸商务酒店', '钦州金苑商务酒店', '钦州悦海旅馆', '钦州怡家优品酒店', '钦州金海岸商务宾馆', '钦州欧雅宾馆']","['65', '58', '138', '70', '58', '60', '59', '58']"
越州天湖周边酒店,"['城市便捷酒店(钦州汽车南站店)', '城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店']","['79', '154', '178', '118', '108', '108', '45', '60']"
钦州坭兴陶艺有限公司周边酒店,"['城市便捷酒店(钦州汽车南站店)', '城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店']","['79', '154', '178', '118', '108', '108', '45', '60']"
钦州大芦村周边酒店,"['城市便捷酒店(钦州汽车南站店)', '城市便捷酒店(钦州新汽车总站店)', '钦州长城宾馆', '钦州拓生酒店', '钦州鑫源商务宾馆', '钦州海源招待所', '钦州城东迎宾馆', '钦州6+1便捷酒店']","['79', '154', '178', '118', '108', '108', '45', '60']"
德天瀑布周边酒店,"['崇左雅特斯酒店', '崇左德天大酒店', '崇左天湖大酒店', '崇左明都商务宾馆', '崇左幸福公寓', '崇左加洲便捷酒店', '崇左银通快捷酒店', '崇左家园商务酒店']","['88', '82', '336', '68', '58', '68', '70', '98']"
明仕田园周边酒店,"['大新明仕庄园宾馆', '大新明仕天成驿站', '大新黄记农家乐客栈', '大新明仕千竹园山庄', '大新新农村餐馆', '大新田间漫步客栈', '大新明仕酒店', '大新友缘客栈']","['66', '95', '84', '128', '110', '173', '190', '108']"
左江石景林周边酒店,"['崇左雅特斯酒店', '崇左德天大酒店', '崇左天湖大酒店', '崇左明都商务宾馆', '崇左幸福公寓', '崇左加洲便捷酒店', '崇左银通快捷酒店', '崇左家园商务酒店']","['88', '82', '336', '68', '58', '68', '70', '98']"
NA,[],[]
NA,[],[]
法国驻龙州领事馆周边酒店,"['龙州悦祥便捷酒店', '龙州南湖商务酒店', '龙州龙江宾馆', '崇左都市便捷酒店(广场店)', '龙州城市快捷酒店', '龙州鑫隆商务宾馆', '龙州龙腾商务酒店', '龙州源满宾馆']","['68', '68', '78', '188', '60', '60', '68', '88']"
胡志明展馆周边酒店,"['龙州悦祥便捷酒店', '龙州南湖商务酒店', '龙州龙江宾馆', '龙州金明珠商务酒店', '崇左都市便捷酒店(广场店)', '龙州天琴酒店', '龙州城市快捷酒店', '龙州鑫隆商务宾馆']","['68', '68', '78', '60', '188', '70', '60', '60']"
